location_project,NearestSite,project,location,Lat,Long,NR,NSR,LUF,AHM,PET,FFP,MAP,MAT,MCMT,MWMT,TrueLat
1-NE_ABMI Ecosystem Health 2015,1,ABMI Ecosystem Health 2015,1-NE,59.943126,-110.282402,Canadian Shield,Kazan Uplands,Lower Athabasca,17.2,381,97,355,-3.9,-26.7,15.5,59.943126
1-NW_ABMI Ecosystem Health 2015,1,ABMI Ecosystem Health 2015,1-NW,59.943126,-110.282402,Canadian Shield,Kazan Uplands,Lower Athabasca,17.2,381,97,355,-3.9,-26.7,15.5,59.943126
1-SE_ABMI Ecosystem Health 2015,1,ABMI Ecosystem Health 2015,1-SE,59.943126,-110.282402,Canadian Shield,Kazan Uplands,Lower Athabasca,17.2,381,97,355,-3.9,-26.7,15.5,59.943126
1-SW_ABMI Ecosystem Health 2015,1,ABMI Ecosystem Health 2015,1-SW,59.943126,-110.282402,Canadian Shield,Kazan Uplands,Lower Athabasca,17.2,381,97,355,-3.9,-26.7,15.5,59.943126
1000-NE_ABMI Ecosystem Health 2020,1000,ABMI Ecosystem Health 2020,1000-NE,54.316402,-118.43872,Foothills,Lower Foothills,Upper Peace,18.6,507,106,667,2.4,-10.6,14.4,54.316402
1000-NW_ABMI Ecosystem Health 2020,1000,ABMI Ecosystem Health 2020,1000-NW,54.316402,-118.43872,Foothills,Lower Foothills,Upper Peace,18.6,507,106,667,2.4,-10.6,14.4,54.316402
1000-SE_ABMI Ecosystem Health 2020,1000,ABMI Ecosystem Health 2020,1000-SE,54.316402,-118.43872,Foothills,Lower Foothills,Upper Peace,18.6,507,106,667,2.4,-10.6,14.4,54.316402
1000-SW_ABMI Ecosystem Health 2020,1000,ABMI Ecosystem Health 2020,1000-SW,54.316402,-118.43872,Foothills,Lower Foothills,Upper Peace,18.6,507,106,667,2.4,-10.6,14.4,54.316402
1004-NE_ABMI Ecosystem Health 2022,1004,ABMI Ecosystem Health 2022,1004-NE,54.261222,-117.282227,Foothills,Lower Foothills,Upper Peace,19.2,498,104,646,2.4,-10.7,14.2,54.261222
1004-SE_ABMI Ecosystem Health 2022,1004,ABMI Ecosystem Health 2022,1004-SE,54.261222,-117.282227,Foothills,Lower Foothills,Upper Peace,19.2,498,104,646,2.4,-10.7,14.2,54.261222
1004-SW_ABMI Ecosystem Health 2022,1004,ABMI Ecosystem Health 2022,1004-SW,54.261222,-117.282227,Foothills,Lower Foothills,Upper Peace,19.2,498,104,646,2.4,-10.7,14.2,54.261222
1005-NW_ABMI Ecosystem Health 2022,1005,ABMI Ecosystem Health 2022,1005-NW,54.193382,-116.921707,Foothills,Lower Foothills,Upper Peace,20.1,520,106,617,2.4,-11.8,14.8,54.193382
1005-SE_ABMI Ecosystem Health 2022,1005,ABMI Ecosystem Health 2022,1005-SE,54.193382,-116.921707,Foothills,Lower Foothills,Upper Peace,20.1,520,106,617,2.4,-11.8,14.8,54.193382
1006-NE_ABMI Ecosystem Health 2022,1006,ABMI Ecosystem Health 2022,1006-NE,54.165481,-116.588928,Foothills,Lower Foothills,Upper Peace,20.8,543,107,601,2.5,-12.3,15.4,54.165481
1006-NW_ABMI Ecosystem Health 2022,1006,ABMI Ecosystem Health 2022,1006-NW,54.165481,-116.588928,Foothills,Lower Foothills,Upper Peace,20.8,543,107,601,2.5,-12.3,15.4,54.165481
1006-SW_ABMI Ecosystem Health 2022,1006,ABMI Ecosystem Health 2022,1006-SW,54.165481,-116.588928,Foothills,Lower Foothills,Upper Peace,20.8,543,107,601,2.5,-12.3,15.4,54.165481
1019-NW_ABMI Ecosystem Health 2022,1019,ABMI Ecosystem Health 2022,1019-NW,53.83131,-112.692451,Parkland,Central Parkland,North Saskatchewan,26.9,564,112,442,1.9,-15.6,16.4,53.83131
1019-SE_ABMI Ecosystem Health 2022,1019,ABMI Ecosystem Health 2022,1019-SE,53.83131,-112.692451,Parkland,Central Parkland,North Saskatchewan,26.9,564,112,442,1.9,-15.6,16.4,53.83131
1020-NE_ABMI Ecosystem Health 2022,1020,ABMI Ecosystem Health 2022,1020-NE,53.800498,-112.393845,Parkland,Central Parkland,North Saskatchewan,27.6,561,112,431,1.9,-15.3,16.3,53.800498
1020-NW_ABMI Ecosystem Health 2022,1020,ABMI Ecosystem Health 2022,1020-NW,53.800498,-112.393845,Parkland,Central Parkland,North Saskatchewan,27.6,561,112,431,1.9,-15.3,16.3,53.800498
1020-SE_ABMI Ecosystem Health 2022,1020,ABMI Ecosystem Health 2022,1020-SE,53.800498,-112.393845,Parkland,Central Parkland,North Saskatchewan,27.6,561,112,431,1.9,-15.3,16.3,53.800498
1020-SW_ABMI Ecosystem Health 2022,1020,ABMI Ecosystem Health 2022,1020-SW,53.800498,-112.393845,Parkland,Central Parkland,North Saskatchewan,27.6,561,112,431,1.9,-15.3,16.3,53.800498
1021-NE_ABMI Ecosystem Health 2022,1021,ABMI Ecosystem Health 2022,1021-NE,53.743743,-112.04409,Parkland,Central Parkland,North Saskatchewan,27.7,566,112,423,1.7,-16,16.4,53.743743
1021-NW_ABMI Ecosystem Health 2022,1021,ABMI Ecosystem Health 2022,1021-NW,53.743743,-112.04409,Parkland,Central Parkland,North Saskatchewan,27.7,566,112,423,1.7,-16,16.4,53.743743
1021-SW_ABMI Ecosystem Health 2022,1021,ABMI Ecosystem Health 2022,1021-SW,53.743743,-112.04409,Parkland,Central Parkland,North Saskatchewan,27.7,566,112,423,1.7,-16,16.4,53.743743
1022-NE_ABMI Ecosystem Health 2015,1022,ABMI Ecosystem Health 2015,1022-NE,53.676139,-111.788589,Boreal,Dry Mixedwood,North Saskatchewan,27.4,570,112,423,1.6,-16.4,16.4,53.676139
1022-NW_ABMI Ecosystem Health 2015,1022,ABMI Ecosystem Health 2015,1022-NW,53.676139,-111.788589,Boreal,Dry Mixedwood,North Saskatchewan,27.4,570,112,423,1.6,-16.4,16.4,53.676139
1022-SE_ABMI Ecosystem Health 2015,1022,ABMI Ecosystem Health 2015,1022-SE,53.676139,-111.788589,Boreal,Dry Mixedwood,North Saskatchewan,27.4,570,112,423,1.6,-16.4,16.4,53.676139
1022-SW_ABMI Ecosystem Health 2015,1022,ABMI Ecosystem Health 2015,1022-SW,53.676139,-111.788589,Boreal,Dry Mixedwood,North Saskatchewan,27.4,570,112,423,1.6,-16.4,16.4,53.676139
1023-NE_ABMI Ecosystem Health 2015,989,ABMI Ecosystem Health 2015,1023-NE,53.83,-111.73,Boreal,Dry Mixedwood,North Saskatchewan,28.1,580,114,423,1.9,-16.2,16.9,53.83
1023-NW_ABMI Ecosystem Health 2015,989,ABMI Ecosystem Health 2015,1023-NW,53.83,-111.73,Boreal,Dry Mixedwood,North Saskatchewan,28.1,580,114,423,1.9,-16.2,16.9,53.83
1023-SE_ABMI Ecosystem Health 2015,989,ABMI Ecosystem Health 2015,1023-SE,53.83,-111.73,Boreal,Dry Mixedwood,North Saskatchewan,28.1,580,114,423,1.9,-16.2,16.9,53.83
1023-SW_ABMI Ecosystem Health 2015,989,ABMI Ecosystem Health 2015,1023-SW,53.83,-111.73,Boreal,Dry Mixedwood,North Saskatchewan,28.1,580,114,423,1.9,-16.2,16.9,53.83
1024-NE_ABMI Ecosystem Health 2015,1024,ABMI Ecosystem Health 2015,1024-NE,53.639076,-111.22509,Boreal,Dry Mixedwood,North Saskatchewan,27.3,567,113,429,1.7,-16.4,16.6,53.639076
1024-NW_ABMI Ecosystem Health 2015,1024,ABMI Ecosystem Health 2015,1024-NW,53.639076,-111.22509,Boreal,Dry Mixedwood,North Saskatchewan,27.3,567,113,429,1.7,-16.4,16.6,53.639076
1024-SW_ABMI Ecosystem Health 2015,1024,ABMI Ecosystem Health 2015,1024-SW,53.639076,-111.22509,Boreal,Dry Mixedwood,North Saskatchewan,27.3,567,113,429,1.7,-16.4,16.6,53.639076
1025-NE_ABMI Ecosystem Health 2017,1025,ABMI Ecosystem Health 2017,1025-NE,53.581031,-110.883202,Parkland,Central Parkland,North Saskatchewan,27.9,567,115,420,1.7,-16.5,16.7,53.581031
1025-NW_ABMI Ecosystem Health 2017,1025,ABMI Ecosystem Health 2017,1025-NW,53.581031,-110.883202,Parkland,Central Parkland,North Saskatchewan,27.9,567,115,420,1.7,-16.5,16.7,53.581031
